"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         193,      -6.733977564,      -3.984608017,      -4.530235505,      -1.154869384,      -4.004100103,       0.167047773
          0,           0,         194,      -6.744037035,      -3.995165307,      -4.541622327,       -1.16493301,      -4.013703698,      0.1551294009
          0,           0,         195,      -6.754133063,      -4.005748336,      -4.553040287,      -1.175032879,      -4.023451693,      0.1433007118
          0,           0,         196,      -6.764265869,      -4.016362934,      -4.564495526,       -1.18516952,      -4.033293009,      0.1315582972
          0,           0,         197,      -6.774434406,      -4.027010842,      -4.575987419,       -1.19534229,      -4.042839203,      0.1199154475
          0,           0,         198,      -6.784640424,      -4.037616485,      -4.587190217,       -1.20555445,      -4.054997822,      0.1109665306
          0,           0,         199,      -6.794878322,      -4.048296917,      -4.598855461,      -1.215800295,      -4.065935696,      0.1025286772
          0,           0,         200,      -6.805155768,      -4.059009575,      -4.610522871,       -1.22608078,      -4.076620879,     0.09407233597
          0,           0,         201,        -6.8154643,      -4.069787793,      -4.622095585,      -1.236394726,      -4.087980154,       0.085308732
          0,           0,         202,      -6.825827291,      -4.080634372,      -4.633773436,      -1.246761804,      -4.098171866,     0.07550719568
          0,           0,         203,        -6.8362208,      -4.091504005,       -4.64542969,      -1.257159428,      -4.108783884,     0.06458716382
          0,           0,         204,      -6.846652286,      -4.102400238,      -4.657147374,      -1.267595267,      -4.120178581,     0.05266539215
          0,           0,         205,      -6.857120474,      -4.113339668,      -4.668906303,      -1.278068735,      -4.132129701,     0.04003870377
          0,           0,         206,      -6.867634445,      -4.124332627,      -4.680736247,      -1.288589077,      -4.143977827,     0.02707998724
          0,           0,         207,      -6.878192355,      -4.135381224,      -4.692582037,      -1.299154828,      -4.156218119,     0.01403212581
          0,           0,         208,      -6.888794622,      -4.146474131,      -4.704483149,      -1.309765647,      -4.168327088,     0.00109740806
          0,           0,         209,      -6.899441659,      -4.157609979,      -4.716402486,      -1.320422188,       -4.18017325,    -0.01159094859
          0,           0,         210,      -6.910134162,       -4.16878086,      -4.728350355,      -1.331124383,      -4.191571928,    -0.02397238362
          0,           0,         211,      -6.920868459,      -4.179975724,       -4.74028885,      -1.341868226,      -4.202223873,    -0.03602232082
          0,           0,         212,      -6.931646936,      -4.191190934,      -4.752220794,      -1.352655687,       -4.21339908,    -0.04782871671
          0,           0,         213,      -6.942467097,       -4.20243017,       -4.76418618,      -1.363484802,      -4.224263734,    -0.05943625344
          0,           0,         214,      -6.953331588,      -4.213691696,      -4.776201358,      -1.374358244,      -4.235235303,    -0.07078908663
          0,           0,         215,      -6.964242167,      -4.224982492,      -4.788224834,      -1.385278191,      -4.245431688,    -0.08197224928
          0,           0,         216,      -6.975198964,      -4.236294952,      -4.800274856,      -1.396244008,       -4.25636366,    -0.09304202288
          0,           0,         217,      -6.986199516,      -4.247642462,      -4.812358094,      -1.407254402,      -4.267846275,     -0.1040378507
          0,           0,         218,      -6.997245826,      -4.259033689,      -4.824495114,      -1.418311447,      -4.279794581,     -0.1149556036
          0,           0,         219,      -7.008339475,      -4.270476721,      -4.836669002,       -1.42941727,      -4.292006504,     -0.1258002002
          0,           0,         220,      -7.019483062,       -4.28196958,      -4.848875979,      -1.440574087,      -4.304361162,     -0.1365928703
          0,           0,         221,      -7.030674445,       -4.29350565,      -4.861098138,      -1.451779566,      -4.316822448,     -0.1473231257
          0,           0,         222,      -7.041913962,      -4.305080814,        -4.8733473,      -1.463033676,      -4.329337579,     -0.1579853296
          0,           0,         223,      -7.053200061,      -4.316691328,      -4.885626151,      -1.474334839,      -4.341766389,     -0.1685697757
          0,           0,         224,       -7.06453306,      -4.328333755,      -4.897930267,      -1.485683233,       -4.35405793,     -0.1790749972
          0,           0,         225,      -7.075912428,      -4.340005094,      -4.910251549,      -1.497078447,      -4.366211874,     -0.1895077361
          0,           0,         226,      -7.087337673,      -4.351703328,      -4.922588414,      -1.508520065,      -4.378308588,     -0.1998705138
          0,           0,         227,      -7.098808457,       -4.36342743,       -4.93494075,      -1.520007725,      -4.390440175,     -0.2101759556
          0,           0,         228,      -7.110324837,      -4.375177374,      -4.947311213,      -1.531541221,      -4.402676988,     -0.2204314953
          0,           0,         229,        -7.1218866,      -4.386955437,      -4.959704111,      -1.543120489,       -4.41508864,      -0.230646575
          0,           0,         230,      -7.133493873,      -4.398765014,      -4.972126086,      -1.554746054,      -4.427684928,     -0.2408195892
          0,           0,         231,      -7.145147238,       -4.41060961,      -4.984592367,      -1.566418625,      -4.440395746,     -0.2509292731
          0,           0,         232,      -7.156846856,      -4.422491312,      -4.997096822,      -1.578138355,      -4.453107953,     -0.2609653155
          0,           0,         233,      -7.168593874,      -4.434409853,      -5.009629416,      -1.589906489,       -4.46570895,     -0.2709244599
          0,           0,         234,      -7.180388055,      -4.446361754,      -5.022174724,       -1.60172278,      -4.478146339,     -0.2808037747
          0,           0,         235,      -7.192229542,      -4.458413406,      -5.035050265,      -1.613585963,      -4.488819865,     -0.2925274486
          0,           0,         236,      -7.204127928,      -4.470462521,      -5.047554121,       -1.62550343,      -4.499977637,     -0.3047840482
          0,           0,         237,      -7.216061452,      -4.482516608,       -5.06005604,      -1.637463927,      -4.511763949,     -0.3169882063
